Identifier,Angle_degree,Distance_from_ChNPP_km,Date_gamma_measurement ,Exposure_Dose_rate_mR/h,Absorbed_dose_rate_microGray/h,Zr-95_Bqm2,"SZR-95, relative error",Nb-95_Bqm2,"SNB-95, relative error",Ru-106_Bqm2,"SRU-106, relative error",Cs-134_Bqm2,"SCS-134, relative error",Cs-137_Bqm2,"SCS-137, relative error",Ce-144_Bq/m3,"SCe-144, relative error",Cs134 + Cs137 Bq/m2,Total Cs - exchangeable form bq/m2,Exch_Cs-134+Cs-137_Bqm2
280,190,25,05/06/1987,0.14,1.2,3.70E+04,0.14,5.92E+04,0.06,1.96E+05,0.12,5.55E+04,0.07,1.41E+05,0.04,8.62E+05,0.04,1.96E+05,1.74E+05,2.22E+04
281,190,30,05/06/1987,0.15,1.3,6.66E+04,0.11,1.30E+05,0.05,3.37E+05,0.11,5.55E+04,0.1,1.78E+05,0.05,1.17E+06,0.04,2.33E+05,2.29E+05,3.70E+03
282,190,37.5,05/06/1987,0.06,0.5,1.11E+04,0.12,1.85E+04,0.05,9.25E+04,0.07,1.85E+04,0.05,4.81E+04,0.03,2.44E+05,0.03,6.66E+04,6.48E+04,1.85E+03
283,190,45,05/06/1987,0.05,0.4,1.11E+04,0.11,2.22E+04,0.05,8.88E+04,0.08,1.85E+04,0.06,5.18E+04,0.03,2.59E+05,0.03,7.03E+04,6.59E+04,4.44E+03
284,190,52.5,05/06/1987,0.06,0.5,,,,,8.14E+04,0.2,1.48E+04,0.13,3.70E+04,0.09,1.26E+05,0.13,5.18E+04,4.81E+04,3.70E+03
285,190,60,05/06/1987,0.03,0.3,1.11E+04,0.16,1.48E+04,0.09,,,7.40E+03,0.23,4.07E+04,0.06,1.59E+05,0.08,4.81E+04,4.11E+04,7.03E+03
286,200,5,05/06/1987,1,8.7,1.18E+05,0.05,2.44E+05,0.02,8.18E+05,0.04,1.26E+05,0.03,3.55E+05,0.02,2.96E+06,0.01,4.81E+05,3.59E+05,1.22E+05
287,200,6,05/06/1987,0.9,7.9,1.37E+05,0.05,3.03E+05,0.02,9.84E+05,0.04,1.48E+05,0.03,4.51E+05,0.02,3.58E+06,0.01,5.99E+05,4.74E+05,1.26E+05
288,200,7,05/06/1987,0.6,5.2,7.03E+04,0.04,1.55E+05,0.02,4.81E+05,0.03,7.40E+04,0.03,2.15E+05,0.02,1.65E+06,0.01,2.89E+05,2.41E+05,4.81E+04
289,200,8.3,05/06/1987,0.4,3.5,1.18E+05,0.07,2.00E+05,0.03,7.22E+05,0.06,1.22E+05,0.05,3.11E+05,0.03,2.31E+06,0.02,4.33E+05,3.00E+05,1.33E+05
290,200,10,04/06/1987,0.45,3.9,4.44E+04,0.07,9.99E+04,0.03,4.07E+05,0.06,4.81E+04,0.05,1.44E+05,0.03,1.24E+06,0.02,1.92E+05,1.41E+05,5.18E+04
291,200,12,04/06/1987,0.4,3.5,2.96E+04,0.1,8.51E+04,0.03,3.40E+05,0.05,4.44E+04,0.05,1.18E+05,0.03,8.62E+05,0.02,1.63E+05,1.18E+05,4.44E+04
292,200,14.7,04/06/1987,0.21,1.8,4.81E+04,0.12,8.88E+04,0.05,4.55E+05,0.08,7.03E+04,0.06,1.89E+05,0.04,1.16E+06,0.03,2.59E+05,2.15E+05,4.44E+04
293,200,17,04/06/1987,0.18,1.6,4.07E+04,0.12,5.55E+04,0.06,,,8.88E+04,0.05,2.07E+05,0.03,7.47E+05,0.04,2.96E+05,2.52E+05,4.44E+04
294,200,20,02/06/1987,0.1,0.9,1.85E+04,0.08,3.70E+04,0.04,1.07E+05,0.07,2.22E+04,0.05,6.29E+04,0.03,4.44E+05,0.02,8.51E+04,8.14E+04,3.70E+03
295,200,25,05/06/1987,0.05,0.4,1.85E+04,0.08,4.07E+04,0.03,1.44E+05,0.06,2.59E+04,0.04,7.03E+04,0.03,4.03E+05,0.02,9.62E+04,7.77E+04,1.85E+04
296,200,30,05/06/1987,0.1,0.9,1.48E+04,0.21,2.59E+04,0.09,1.18E+05,0.18,1.85E+04,0.18,5.92E+04,0.06,2.96E+05,0.07,7.77E+04,6.66E+04,1.11E+04
297,200,37.5,05/06/1987,0.07,0.6,3.70E+03,0.2,1.11E+04,0.07,5.18E+04,0.09,1.11E+04,0.07,2.96E+04,0.04,1.11E+05,0.05,4.07E+04,2.96E+04,1.11E+04
298,200,45,05/06/1987,0.03,0.3,,,7.40E+03,0.08,2.96E+04,0.15,7.40E+03,0.07,2.59E+04,0.04,7.03E+04,0.07,3.33E+04,2.96E+04,3.70E+03
299,200,52.5,05/06/1987,0.02,0.2,,,1.48E+03,0.2,,,7.40E+03,0.08,2.22E+04,0.05,0.00E+00,,2.96E+04,2.15E+04,8.14E+03
300,200,60,05/06/1987,0.02,0.2,,,3.70E+03,0.11,2.96E+04,0.14,7.40E+03,0.07,1.85E+04,0.05,6.66E+04,0.07,2.59E+04,2.22E+04,3.70E+03
301,210,5,04/06/1987,0.5,4.4,7.03E+04,0.07,1.11E+05,0.04,4.18E+05,0.07,4.81E+04,0.07,1.52E+05,0.03,1.42E+06,0.02,2.00E+05,1.44E+05,5.55E+04
302,210,6,05/06/1987,0.45,3.9,7.03E+04,0.04,1.48E+05,0.02,4.07E+05,0.04,7.03E+04,0.03,1.74E+05,0.02,1.49E+06,0.01,2.44E+05,1.63E+05,8.14E+04
303,210,7,05/06/1987,0.3,2.6,8.88E+04,0.08,1.70E+05,0.04,6.44E+05,0.06,9.25E+04,0.06,2.74E+05,0.03,1.69E+06,0.02,3.66E+05,2.96E+05,7.03E+04
304,210,8.3,05/06/1987,0.25,2.2,7.03E+04,0.09,1.33E+05,0.04,3.66E+05,0.1,8.51E+04,0.05,1.63E+05,0.04,1.63E+06,0.02,2.48E+05,2.12E+05,3.59E+04
305,210,10,03/06/1987,0.2,1.7,1.85E+04,0.08,4.07E+04,0.03,1.07E+05,0.07,1.85E+04,0.05,5.18E+04,0.03,3.63E+05,0.03,7.03E+04,7.03E+04,
306,210,12,04/06/1987,0.25,2.2,6.29E+04,0.12,1.04E+05,0.06,3.66E+05,0.11,5.18E+04,0.11,1.55E+05,0.05,9.81E+05,0.04,2.07E+05,1.78E+05,2.96E+04
307,210,14.7,04/06/1987,0.14,1.2,2.96E+04,0.13,6.29E+04,0.05,2.70E+05,0.08,5.55E+04,0.05,1.30E+05,0.03,7.29E+05,0.03,1.85E+05,1.67E+05,1.78E+04
308,210,17,04/06/1987,0.8,7.0,1.85E+04,0.09,3.33E+04,0.04,8.51E+04,0.08,2.22E+04,0.05,5.55E+04,0.03,3.29E+05,0.03,7.77E+04,5.99E+04,1.78E+04
309,210,20,02/06/1987,0.05,0.4,,,1.11E+04,0.08,4.44E+04,0.12,1.07E+04,0.08,3.00E+04,0.05,1.18E+05,0.06,4.07E+04,1.48E+04,2.59E+04
310,210,25,03/06/1987,0.07,0.6,,,1.85E+04,0.06,7.77E+04,0.13,1.11E+04,0.11,3.33E+04,0.05,2.33E+05,0.05,4.44E+04,2.96E+04,1.48E+04
311,210,30,05/06/1987,0.05,0.4,,,3.70E+03,0.08,1.11E+04,0.27,3.70E+03,0.09,1.48E+04,0.04,3.33E+04,0.09,1.85E+04,1.85E+04,
312,210,37.5,05/06/1987,0.03,0.3,,,3.70E+03,0.11,2.96E+04,0.14,7.40E+03,0.1,1.85E+04,0.05,6.66E+04,0.08,2.59E+04,7.40E+03,1.85E+04
313,210,45,05/06/1987,0.03,0.3,,,,,,,3.70E+03,0.09,1.48E+04,0.06,2.59E+04,0.16,1.85E+04,1.85E+04,
314,210,52.5,05/06/1987,0.02,0.2,,,3.70E+03,0.18,,,7.40E+03,0.08,2.22E+04,0.05,2.22E+04,0.19,2.96E+04,1.11E+04,1.85E+04
315,210,60,05/06/1987,0.02,0.2,,,3.70E+03,0.18,,,7.40E+03,0.2,1.48E+04,0.11,0.00E+00,,2.22E+04,2.00E+04,2.22E+03
316,220,5,05/06/1987,0.6,5.2,1.04E+05,0.05,1.81E+05,0.02,5.70E+05,0.04,8.51E+04,0.04,2.78E+05,0.02,2.11E+06,0.01,3.63E+05,2.37E+05,1.26E+05
317,220,6,02/06/1987,0.3,2.6,7.77E+04,0.04,1.55E+05,0.02,6.29E+05,0.03,8.14E+04,0.02,2.04E+05,0.02,1.58E+06,0.01,2.85E+05,2.37E+05,4.81E+04
318,220,7,02/06/1987,0.25,2.2,4.81E+04,0.05,8.88E+04,0.02,2.55E+05,0.05,4.44E+04,0.03,1.11E+05,0.02,9.92E+05,0.01,1.55E+05,4.44E+04,1.11E+05
319,220,8.3,03/06/1987,0.18,1.6,4.07E+04,0.08,8.51E+04,0.03,2.26E+05,0.07,2.96E+04,0.07,1.07E+05,0.03,1.02E+06,0.02,1.37E+05,1.37E+05,
320,220,10,03/06/1987,0.07,0.6,2.96E+04,0.06,6.29E+04,0.03,3.70E+05,0.03,4.07E+04,0.03,1.11E+05,0.02,6.55E+05,0.02,1.52E+05,1.24E+05,2.78E+04
321,220,12,04/06/1987,0.18,1.6,4.81E+04,0.08,8.51E+04,0.04,3.03E+05,0.06,6.66E+04,0.04,1.81E+05,0.03,1.01E+06,0.02,2.48E+05,2.15E+05,3.33E+04
322,220,14.7,02/06/1987,0.1,0.9,1.85E+04,0.08,4.44E+04,0.03,1.67E+05,0.05,2.96E+04,0.04,8.14E+04,0.02,4.74E+05,0.02,1.11E+05,4.07E+04,7.03E+04
323,220,17,02/06/1987,0.075,0.7,1.11E+04,0.12,2.96E+04,0.04,1.26E+05,0.07,1.44E+04,0.07,5.18E+04,0.03,3.03E+05,0.03,6.62E+04,6.62E+04,
324,220,20,02/06/1987,0.025,0.2,1.48E+04,0.08,3.33E+04,0.04,8.14E+04,0.08,1.85E+04,0.05,5.55E+04,0.03,3.70E+05,0.03,7.40E+04,4.07E+04,3.33E+04
325,220,25,,,,,,,,,,,,,,,,,,
326,220,30,03/06/1987,0.04,0.3,,,7.40E+03,0.09,2.22E+04,1.21,3.70E+03,0.17,1.11E+04,0.07,6.29E+04,0.09,1.48E+04,1.48E+04,
327,220,37.5,05/06/1987,0.02,0.2,,,7.40E+03,0.1,2.59E+04,0.16,7.40E+03,0.08,1.48E+04,0.06,6.29E+04,0.11,2.22E+04,2.22E+04,
328,220,45,05/06/1987,0.02,0.2,,,1.48E+03,0.22,,,3.70E+03,0.17,7.40E+03,0.08,4.07E+04,0.13,1.11E+04,1.11E+04,
329,220,52.5,05/06/1987,0.02,0.2,,,,,,,3.70E+03,0.13,1.11E+04,0.07,1.85E+04,0.26,1.48E+04,1.48E+04,
330,220,60,05/06/1987,0.02,0.2,,,1.11E+03,0.26,,,7.40E+03,0.09,1.48E+04,0.06,0.00E+00,,2.22E+04,2.00E+04,2.22E+03
331,230,5,02/06/1987,0.45,3.9,8.14E+04,0.04,1.81E+05,0.02,4.59E+05,0.03,9.62E+04,0.02,2.74E+05,0.01,1.96E+06,0.01,3.70E+05,3.18E+05,5.18E+04
332,230,6,05/06/1987,0.9,7.9,2.04E+05,0.05,4.00E+05,0.02,1.12E+06,0.05,2.07E+05,0.04,5.51E+05,0.02,4.07E+06,0.02,7.59E+05,7.22E+05,3.70E+04
333,230,7,,,,,,,,,,,,,,,,,,
334,230,8.3,02/06/1987,0.3,2.6,2.44E+04,0.07,4.44E+04,0.03,1.52E+05,0.06,2.96E+04,0.04,8.51E+04,0.02,4.85E+05,0.02,1.15E+05,1.07E+05,7.40E+03
335,230,10,03/06/1987,0.13,1.1,2.59E+04,0.09,5.92E+04,0.04,1.92E+05,0.06,3.70E+04,0.05,8.88E+04,0.03,6.55E+05,0.02,1.26E+05,9.40E+04,3.18E+04
336,230,12,02/06/1987,0.05,0.4,1.85E+04,0.08,3.70E+04,0.03,1.11E+05,0.07,2.22E+04,0.05,5.92E+04,0.03,3.70E+05,0.03,8.14E+04,6.59E+04,1.55E+04
337,230,14.7,02/06/1987,0.12,1.0,7.40E+03,0.16,1.85E+04,0.05,4.81E+04,0.11,1.11E+04,0.07,2.96E+04,0.04,1.52E+05,0.04,4.07E+04,2.22E+04,1.85E+04
338,230,17,02/06/1987,0.075,0.7,7.40E+03,0.14,1.85E+04,0.05,5.55E+04,0.11,1.85E+04,0.05,4.81E+04,0.03,1.96E+05,0.04,6.66E+04,4.81E+04,1.85E+04
339,230,20,02/06/1987,0.05,0.4,3.70E+03,0.18,1.11E+04,0.07,2.96E+04,0.2,1.85E+04,0.03,4.81E+04,0.03,1.33E+05,0.05,6.66E+04,4.07E+04,2.59E+04
340,230,25,02/06/1987,0.06,0.5,3.70E+03,0.12,3.70E+03,0.09,1.48E+04,0.14,7.40E+03,0.06,1.48E+04,0.03,5.18E+04,0.06,2.22E+04,1.33E+04,8.88E+03
341,230,30,03/06/1987,0.03,0.3,,,3.70E+03,0.2,2.96E+04,0.16,7.40E+03,0.1,2.22E+04,0.06,5.92E+04,0.1,2.96E+04,2.96E+04,
342,230,37.5,08/06/1987,0.04,0.3,,,1.48E+03,0.16,1.11E+04,0.19,3.70E+03,0.07,1.11E+04,0.05,1.85E+04,0.17,1.48E+04,1.48E+04,
343,230,45,,,,,,,,,,,,,,,,,,
344,230,52.5,08/06/1987,0.02,0.2,,,1.48E+04,0.13,3.70E+04,0.44,,,4.07E+04,0.08,1.55E+05,0.13,4.07E+04,1.11E+04,2.96E+04
345,230,60,08/06/1987,0.02,0.2,,,3.70E+03,0.25,,,,,2.59E+04,0.11,0.00E+00,,2.59E+04,2.48E+04,1.11E+03
346,240,5,02/06/1987,5.5,48.0,5.59E+05,0.05,1.09E+06,0.05,,,3.48E+05,0.13,1.38E+06,0.05,1.28E+07,0.05,1.72E+06,1.11E+06,6.14E+05
347,240,6,29/05/1987,2.8,24.4,5.11E+05,0.05,1.30E+06,0.02,,,5.70E+05,0.03,1.35E+06,0.02,1.63E+07,0.01,1.92E+06,1.88E+06,3.70E+04
348,240,7,05/06/1987,1.2,10.5,1.44E+05,0.05,3.22E+05,0.02,6.85E+05,0.04,1.55E+05,0.03,4.18E+05,0.02,3.40E+06,0.01,5.74E+05,5.03E+05,7.03E+04
349,240,8.3,02/06/1987,1,8.7,1.15E+05,0.03,2.29E+05,0.02,5.77E+05,0.03,1.15E+05,0.02,3.26E+05,0.01,2.24E+06,0.01,4.40E+05,4.14E+05,2.59E+04
350,240,10,02/06/1987,0.7,6.1,9.99E+04,0.04,1.92E+05,0.02,7.03E+05,0.03,9.25E+04,0.03,2.81E+05,0.01,1.91E+06,0.01,3.74E+05,3.74E+05,
351,240,12,29/05/1987,0.2,1.7,4.81E+04,0.06,1.04E+05,0.02,,,1.85E+04,0.11,1.37E+05,0.02,1.35E+06,0.01,1.55E+05,1.22E+05,3.33E+04
352,240,14.7,05/06/1987,0.2,1.7,5.18E+04,0.11,7.55E+04,0.05,1.40E+05,0.19,2.96E+04,0.15,1.22E+05,0.04,9.40E+05,0.03,1.52E+05,1.32E+05,2.00E+04
353,240,17,05/06/1987,0.012,0.1,2.22E+04,0.18,7.40E+04,0.06,1.55E+05,0.14,4.81E+04,0.08,1.30E+05,0.04,7.36E+05,0.04,1.78E+05,1.58E+05,2.00E+04
354,240,20,04/06/1987,0.15,1.3,3.70E+03,0.17,7.40E+03,0.06,2.96E+04,0.09,1.11E+04,0.04,2.96E+04,0.03,7.03E+04,0.05,4.07E+04,3.70E+04,3.70E+03
355,240,25,04/06/1987,0.15,1.3,,,3.70E+03,0.11,,,2.59E+04,0.04,6.29E+04,0.03,2.96E+04,0.15,8.88E+04,5.55E+04,3.33E+04
356,240,30,02/06/1987,0.075,0.7,,,7.40E+03,0.1,4.07E+04,0.13,6.29E+04,0.03,1.63E+05,0.02,4.81E+04,0.11,2.26E+05,2.00E+05,2.59E+04
357,240,37.5,05/06/1987,0.025,0.2,,,,,,,3.70E+03,0.07,1.11E+04,0.05,0.00E+00,,1.48E+04,7.40E+03,7.40E+03
358,240,45,05/06/1987,0.05,0.4,,,,,,,6.29E+04,0.03,1.55E+05,0.02,0.00E+00,,2.18E+05,1.78E+05,4.07E+04
359,240,52.5,05/06/1987,0.2,1.7,,,,,,,1.18E+05,0.02,2.92E+05,0.01,0.00E+00,,4.11E+05,3.11E+05,9.99E+04
360,240,60,05/06/1987,0.14,1.2,,,,,,,3.33E+04,0.04,8.14E+04,0.02,0.00E+00,,1.15E+05,1.05E+05,9.25E+03
361,250,5,02/06/1987,7.5,65.5,,,7.96E+05,0.07,,,,,1.12E+06,0.07,8.14E+06,0.07,1.12E+06,9.32E+05,1.85E+05
362,250,6,02/06/1987,9,78.6,1.61E+06,0.07,,,9.03E+06,0.06,5.18E+05,0.18,3.31E+06,0.03,3.29E+07,0.03,3.83E+06,3.81E+06,1.48E+04
363,250,7,02/06/1987,7,61.1,,,9.84E+05,0.07,,,6.85E+05,0.03,1.45E+06,0.06,6.14E+06,0.09,2.13E+06,1.66E+06,4.77E+05
364,250,8.3,02/06/1987,1.2,10.5,9.47E+05,0.06,2.02E+06,0.02,4.92E+06,0.05,1.12E+06,0.03,2.61E+06,0.02,1.88E+07,0.02,3.73E+06,3.52E+06,2.11E+05
365,250,10,05/06/1987,5,43.7,9.07E+05,0.09,1.95E+06,0.03,6.81E+06,0.07,1.65E+06,0.04,4.26E+06,0.02,2.33E+07,0.03,5.90E+06,4.65E+06,1.25E+06
366,250,12,05/06/1987,0.75,6.5,1.07E+05,0.04,2.52E+05,0.01,6.92E+05,0.03,1.22E+05,0.02,3.74E+05,0.01,2.40E+06,0.01,4.96E+05,4.37E+05,5.92E+04
367,250,14.7,,,,,,,,,,,,,,,,,,
368,250,17,05/06/1987,0.2,1.7,4.07E+04,0.08,7.40E+04,0.04,2.00E+05,0.07,4.81E+04,0.05,1.33E+05,0.03,8.07E+05,0.02,1.81E+05,1.64E+05,1.78E+04
369,250,20,05/06/1987,0.018,0.2,7.40E+04,0.11,1.81E+05,0.04,3.52E+05,0.11,1.11E+05,0.06,2.33E+05,0.04,1.51E+06,0.03,3.44E+05,3.26E+05,1.85E+04
370,250,25,04/06/1987,0.1,0.9,1.48E+04,0.13,3.33E+04,0.05,8.88E+04,0.12,3.33E+04,0.05,9.99E+04,0.03,4.14E+05,0.03,1.33E+05,9.99E+04,3.33E+04
371,250,30,,,,,,,,,,,,,,,,,,
372,250,37.5,05/06/1987,0.25,2.2,,,1.48E+04,0.06,8.51E+04,0.09,1.37E+05,0.02,3.48E+05,0.01,1.37E+05,0.06,4.85E+05,3.03E+05,1.81E+05
373,250,45,05/06/1987,0.1,0.9,,,7.40E+03,0.12,,,2.96E+04,0.06,7.03E+04,0.03,3.70E+04,0.22,9.99E+04,8.14E+04,1.85E+04
374,250,52.5,05/06/1987,,0.0,,,1.85E+03,0.18,,,1.11E+04,0.06,2.22E+04,0.04,2.22E+04,0.15,3.33E+04,1.11E+04,2.22E+04
375,250,60,05/06/1987,0.02,0.2,,,,,,,5.92E+04,0.03,1.44E+05,0.02,2.22E+04,0.26,2.04E+05,2.02E+05,1.48E+03
376,260,5,05/06/1987,26,227.0,2.46E+06,0.05,5.37E+06,0.02,1.50E+07,0.05,3.46E+06,0.03,9.69E+06,0.02,5.03E+06,0.02,1.32E+07,1.24E+07,7.62E+05
377,260,6,05/06/1987,12,104.8,1.07E+06,0.08,2.31E+06,0.03,6.88E+06,0.07,1.55E+06,0.05,4.22E+06,0.02,2.76E+07,0.03,5.77E+06,4.96E+06,8.10E+05
378,260,7,02/06/1987,6,52.4,1.01E+06,0.05,1.99E+06,0.02,5.92E+06,0.04,1.55E+06,0.02,4.07E+06,0.02,1.80E+07,0.02,5.62E+06,5.57E+06,4.44E+04
379,260,8.3,,,,,,,,,,,,,,,,,,
380,260,10,05/06/1987,3,26.2,1.04E+05,0.03,2.07E+05,0.01,4.22E+05,0.03,1.33E+05,0.02,3.89E+05,0.01,1.85E+06,0.01,5.22E+05,5.22E+05,
381,260,12,05/06/1987,,0.0,1.41E+05,0.08,3.66E+05,0.03,1.08E+06,0.06,,,2.96E+05,0.04,2.63E+06,0.03,2.96E+05,1.63E+05,1.33E+05
382,260,14.7,04/06/1987,0.75,6.5,1.26E+05,0.06,3.70E+05,0.02,7.59E+05,0.05,2.15E+05,0.03,6.62E+05,0.01,3.74E+06,0.01,8.77E+05,7.92E+05,8.51E+04
383,260,17,04/06/1987,1,8.7,5.18E+04,0.14,1.07E+05,0.06,2.44E+05,0.19,4.44E+04,0.16,1.81E+05,0.05,1.05E+06,0.05,2.26E+05,1.41E+05,8.51E+04
384,260,20,05/06/1987,0.4,3.5,5.92E+04,0.05,1.22E+05,0.02,2.52E+05,0.05,7.40E+04,0.03,2.07E+05,0.02,1.23E+06,0.01,2.81E+05,2.59E+05,2.22E+04
385,260,25,02/06/1987,0.3,2.6,5.92E+04,0.04,1.18E+05,0.02,4.14E+05,0.04,9.62E+04,0.02,2.41E+05,0.02,1.11E+06,0.01,3.37E+05,2.52E+05,8.51E+04
386,260,30,29/05/1987,0.2,1.7,9.62E+04,0.08,1.26E+05,0.04,,,8.14E+04,0.07,2.00E+05,0.05,1.07E+06,0.04,2.81E+05,2.00E+05,8.14E+04
387,260,37.5,05/06/1987,0.075,0.7,2.22E+04,0.07,4.07E+04,0.03,2.18E+05,0.05,5.92E+04,0.03,1.55E+05,0.02,5.22E+05,0.02,2.15E+05,1.89E+05,2.59E+04
388,260,45,05/06/1987,0.18,1.6,7.40E+03,0.13,1.48E+04,0.06,6.29E+04,0.1,7.40E+04,0.02,1.89E+05,0.02,1.74E+05,0.04,2.63E+05,2.18E+05,4.44E+04
389,260,52.5,05/06/1987,0.2,1.7,7.40E+03,0.12,1.48E+04,0.06,4.07E+04,0.13,5.92E+04,0.03,1.41E+05,0.02,1.33E+05,0.05,2.00E+05,1.81E+05,1.85E+04
390,260,60,05/06/1987,0.16,1.4,7.40E+03,0.18,1.85E+04,0.08,6.29E+04,0.15,7.03E+04,0.03,1.67E+05,0.02,1.74E+05,0.06,2.37E+05,2.26E+05,1.11E+04
391,270,5,02/06/1987,1.8,15.7,2.15E+05,0.03,5.55E+05,0.01,1.27E+06,0.03,2.70E+05,0.02,7.51E+05,0.01,5.33E+06,0.01,1.02E+06,9.32E+05,8.88E+04
392,270,6,02/06/1987,3,26.2,2.11E+05,0.03,4.77E+05,0.01,7.81E+05,0.03,1.33E+05,0.02,3.92E+05,0.01,4.14E+06,0.01,5.25E+05,4.29E+05,9.62E+04
393,270,7,02/06/1987,1,8.7,1.30E+05,0.03,2.85E+05,0.01,5.00E+05,0.04,1.85E+05,0.02,5.29E+05,,2.83E+06,0.01,7.14E+05,6.88E+05,2.59E+04
394,270,8.3,02/06/1987,1,8.7,1.11E+05,0.03,2.37E+05,0.02,1.20E+06,0.02,1.26E+05,0.02,3.55E+05,0.01,2.43E+06,0.01,4.81E+05,2.00E+05,2.81E+05
395,270,10,02/06/1987,0.4,3.5,5.18E+04,0.05,1.11E+05,0.02,2.11E+05,0.05,9.25E+04,0.02,2.66E+05,0.01,1.01E+06,0.02,3.59E+05,3.39E+05,1.96E+04
396,270,12,04/06/1987,0.75,6.5,1.55E+05,0.05,4.14E+05,0.02,1.24E+06,0.03,2.33E+05,0.02,6.70E+05,0.01,4.07E+06,0.01,9.03E+05,8.25E+05,7.77E+04
397,270,14.7,05/06/1987,1,8.7,1.15E+06,0.03,1.97E+06,0.01,5.88E+06,0.03,9.81E+05,0.02,3.30E+06,0.01,1.52E+07,0.01,4.28E+06,4.03E+06,2.48E+05
398,270,17,02/06/1987,0.7,6.1,1.89E+05,0.03,5.18E+05,0.01,8.14E+05,0.03,2.44E+05,0.02,6.99E+05,0.01,2.79E+06,0.01,9.44E+05,6.96E+05,2.48E+05
399,270,20,02/06/1987,2.5,21.8,1.26E+05,0.04,2.81E+05,0.01,6.36E+05,0.03,2.63E+05,0.02,7.59E+05,0.01,2.39E+06,0.01,1.02E+06,9.32E+05,8.88E+04
400,270,25,,,,,,,,,,,,,,,,,,
401,270,30,29/05/1987,0.46,4.0,1.22E+05,0.04,2.26E+05,0.02,4.63E+05,0.06,2.11E+05,0.02,5.33E+05,0.01,1.80E+06,0.02,7.44E+05,6.55E+05,8.88E+04
402,270,37.5,05/06/1987,0.14,1.2,,,4.81E+04,0.07,9.25E+04,0.23,7.77E+04,0.06,1.96E+05,0.03,3.89E+05,0.06,2.74E+05,1.85E+05,8.88E+04
403,270,45,05/06/1987,1,8.7,9.62E+04,0.04,1.92E+05,0.02,4.37E+05,0.04,1.26E+05,0.02,3.70E+05,0.01,1.75E+06,0.01,4.96E+05,3.26E+05,1.70E+05
404,270,52.5,05/06/1987,0.16,1.4,4.07E+04,0.12,5.18E+04,0.06,1.85E+05,0.12,5.55E+04,0.07,1.52E+05,0.04,4.70E+05,0.05,2.07E+05,1.92E+05,1.48E+04
405,270,60,05/06/1987,0.14,1.2,7.40E+03,0.14,1.85E+04,0.05,6.66E+04,0.09,2.22E+04,0.05,5.92E+04,0.03,1.70E+05,0.04,8.14E+04,6.55E+04,1.59E+04
406,280,5,02/06/1987,1,8.7,1.07E+05,0.04,2.15E+05,0.02,5.18E+05,0.04,9.62E+04,0.03,2.55E+05,0.02,2.35E+06,0.01,3.52E+05,1.78E+05,1.74E+05
407,280,6,,,,,,,,,,,,,,,,,,
408,280,7,02/06/1987,0.75,6.5,1.30E+05,0.03,2.29E+05,0.01,5.11E+05,0.03,1.18E+05,0.02,3.66E+05,0.01,2.04E+06,0.01,4.85E+05,4.51E+05,3.33E+04
409,280,8.3,29/05/1987,1,8.7,2.44E+05,0.05,4.40E+05,0.02,1.24E+06,0.05,1.81E+05,0.05,5.88E+05,0.02,4.70E+06,0.02,7.70E+05,6.81E+05,8.88E+04
410,280,10,,,,,,,,,,,,,,,,,,
411,280,12,02/06/1987,0.5,4.4,4.44E+04,0.06,1.04E+05,0.02,3.92E+05,0.04,1.11E+05,0.02,2.96E+05,0.01,1.02E+06,0.02,4.07E+05,3.55E+05,5.18E+04
412,280,14.7,02/06/1987,0.4,3.5,5.55E+04,0.05,1.33E+05,0.02,2.78E+05,0.05,1.41E+05,0.02,3.96E+05,0.01,1.18E+06,0.02,5.37E+05,4.51E+05,8.51E+04
413,280,17,02/06/1987,0.35,3.1,4.81E+04,0.06,1.07E+05,0.02,7.88E+05,0.03,1.41E+05,0.02,3.52E+05,0.01,1.10E+06,0.02,4.92E+05,4.07E+05,8.51E+04
414,280,20,,,,,,,,,,,,,,,,,,
415,280,25,29/05/1987,0.2,1.7,7.40E+04,0.05,1.26E+05,0.02,1.18E+05,0.16,1.48E+05,0.02,3.55E+05,0.01,9.55E+05,0.02,5.03E+05,4.77E+05,2.59E+04
416,280,30,02/06/1987,0.18,1.6,1.11E+04,0.11,2.22E+04,0.05,6.66E+04,0.09,5.18E+04,0.03,1.33E+05,0.02,2.33E+05,0.03,1.85E+05,1.78E+05,7.40E+03
417,280,37.5,05/06/1987,0.1,0.9,1.48E+04,0.1,2.96E+04,0.04,8.14E+04,0.08,4.44E+04,0.03,1.15E+05,0.02,2.70E+05,0.03,1.59E+05,1.44E+05,1.48E+04
418,280,45,05/06/1987,0.05,0.4,1.11E+04,0.12,1.85E+04,0.05,6.29E+04,0.1,3.33E+04,0.04,7.77E+04,0.03,1.96E+05,0.04,1.11E+05,7.77E+04,3.33E+04
419,280,52.5,05/06/1987,0.025,0.2,,,3.70E+03,0.1,,,3.70E+03,0.08,1.48E+04,0.04,1.85E+04,0.14,1.85E+04,1.22E+04,6.29E+03
420,280,60,05/06/1987,0.1,0.9,,,7.40E+03,0.09,4.07E+04,0.11,4.44E+04,0.03,1.22E+05,0.02,8.88E+04,0.07,1.67E+05,1.59E+05,7.40E+03
