Identifier,Angle_degree,Distance_from_ChNPP_km,Date_gamma_measurement ,Exposure_Dose_rate_mR/h,Absorbed_dose_rate_microGray/h,Zr-95_Bqm2,"SZR-95, relative error",Nb-95_Bqm2,"SNB-95, relative error",Ru-106_Bqm2,"SRU-106, relative error",Cs-134_Bqm2,"SCS-134, relative error",Cs-137_Bqm2,"SCS-137, relative error",Ce-144_Bq/m3,"SCe-144, relative error",Cs134 + Cs137 Bq/m2,Total Cs - exchangeable form bq/m2,Exch_Cs-134+Cs-137_Bqm2,x,y,INI X,INI Y
240,160,60,5/6/1987,0.05,0.4,,,1.85E+04,0.12,,,1.11E+04,0.16,4.44E+04,0.08,2.22E+05,0.09,5.55E+04,4.07E+04,1.48E+04,-7.237758768,43.1705155,,
241,170,5,5/6/1987,2.6,22.7,1.30E+05,0.06,3.44E+05,0.02,1.30E+06,0.03,2.22E+05,0.03,5.70E+05,0.02,4.92E+06,0.01,7.92E+05,5.11E+05,2.81E+05,55.98997376,31.73824728,,
242,170,6,4/6/1987,1.2,10.5,1.44E+05,0.06,4.55E+05,0.02,1.61E+06,0.03,2.41E+05,0.03,5.70E+05,0.02,4.03E+06,0.01,8.10E+05,6.73E+05,1.37E+05,56.92796851,32.08489673,,
243,170,7,,,,,,,,,,,,,,,,,,,57.86596326,32.43154619,,
244,170,8.3,4/6/1987,1.1,9.6,2.22E+05,0.05,3.18E+05,0.02,1.62E+06,0.03,2.04E+05,0.03,6.36E+05,0.02,3.35E+06,0.02,8.40E+05,5.37E+05,3.03E+05,59.08535644,32.88219048,,
245,170,10,4/6/1987,1.2,10.5,9.25E+04,0.05,1.89E+05,0.02,6.62E+05,0.04,9.99E+04,0.03,2.74E+05,0.02,1.92E+06,0.02,3.74E+05,2.74E+05,9.99E+04,60.67994752,33.47149455,,
246,170,12,4/6/1987,0.7,6.1,1.04E+05,0.12,2.15E+05,0.05,7.88E+05,0.04,8.51E+04,0.12,3.85E+05,,2.55E+06,0.03,4.70E+05,4.29E+05,4.07E+04,62.55593703,34.16479347,,
247,170,14.7,5/6/1987,0.3,2.6,3.33E+04,0.09,7.03E+04,0.04,2.18E+05,0.08,4.44E+04,0.05,1.15E+05,0.03,7.10E+05,0.03,1.59E+05,1.15E+05,4.44E+04,65.08852286,35.100747,,
248,170,17,3/6/1987,0.12,1,4.07E+04,0.05,8.14E+04,0.02,2.96E+05,0.04,6.29E+04,0.03,1.55E+05,0.02,8.81E+05,0.02,2.18E+05,1.96E+05,2.22E+04,67.24591079,35.89804074,,
249,170,20,5/6/1987,0.15,1.3,3.70E+04,0.06,7.77E+04,0.03,2.63E+05,0.04,4.07E+04,0.03,1.18E+05,0.02,8.70E+05,0.02,1.59E+05,1.26E+05,3.33E+04,70.05989504,36.93798911,,
250,170,25,5/6/1987,0.12,1,4.07E+04,0.12,5.92E+04,0.06,1.44E+05,0.17,2.59E+04,0.16,1.26E+05,0.04,6.51E+05,0.04,1.52E+05,1.41E+05,1.11E+04,74.7498688,38.67123639,,
251,170,30,2/6/1987,0.03,0.3,1.11E+04,0.1,1.85E+04,0.05,5.92E+04,0.09,1.48E+04,0.06,4.07E+04,0.04,2.18E+05,0.04,5.55E+04,3.70E+04,1.85E+04,79.43984256,40.40448366,,
252,170,37.5,5/6/1987,0.06,0.5,1.48E+04,0.16,1.85E+04,0.08,5.18E+04,0.18,1.85E+04,0.1,5.18E+04,0.05,1.78E+05,0.07,7.03E+04,4.74E+04,2.29E+04,86.4748032,43.00435458,,
253,170,45,5/6/1987,0.05,0.4,1.48E+04,0.09,2.59E+04,0.04,2.26E+05,0.05,2.96E+04,0.04,8.14E+04,0.02,2.85E+05,0.03,1.11E+05,9.25E+04,1.85E+04,93.50976385,45.6042255,,
254,170,52.5,5/6/1987,0.05,0.4,7.40E+03,0.13,1.11E+04,0.07,2.59E+04,0.14,1.11E+04,0.07,2.96E+04,0.04,1.30E+05,0.05,4.07E+04,2.96E+04,1.11E+04,100.5447245,48.20409641,,
255,170,60,5/6/1987,0.05,0.4,7.40E+03,0.15,1.11E+04,0.07,4.07E+04,0.13,1.11E+04,0.07,2.96E+04,0.04,1.07E+05,0.06,4.07E+04,1.48E+04,2.59E+04,107.5796851,50.80396733,,
256,180,5,4/6/1987,2.5,21.8,1.65E+06,0.04,2.83E+06,0.02,1.12E+07,0.03,2.01E+06,0.02,5.44E+06,0.01,2.75E+07,0.01,7.44E+06,7.22E+06,2.26E+05,48.30769965,25.99923682,,
257,180,6,5/6/1987,1.8,15.7,2.04E+05,0.04,5.40E+05,0.01,1.13E+06,0.04,1.89E+05,0.03,6.18E+05,0.02,5.22E+06,0.01,8.07E+05,5.77E+05,2.29E+05,47.70923959,25.19808419,,
258,180,7,5/6/1987,1.4,12.2,,,5.66E+05,0.04,1.46E+06,0.12,1.04E+05,0.28,8.36E+05,0.04,6.66E+06,0.04,9.40E+05,5.48E+05,3.92E+05,47.11077952,24.39693155,,
259,180,8.3,4/6/1987,1,8.7,1.07E+05,0.06,2.81E+05,0.02,8.03E+05,0.05,1.52E+05,0.03,4.59E+05,0.02,3.01E+06,0.01,6.11E+05,4.63E+05,1.48E+05,46.33278143,23.35543312,,
260,180,10,4/6/1987,1,8.7,1.89E+05,0.08,3.70E+05,0.03,1.20E+06,0.07,2.07E+05,0.05,5.44E+05,0.03,3.81E+06,0.02,7.51E+05,6.88E+05,6.29E+04,45.31539931,21.99347364,,
261,180,12,4/6/1987,0.6,5.2,2.22E+05,0.07,4.03E+05,0.03,1.26E+06,0.07,2.81E+05,0.05,8.03E+05,0.02,4.70E+06,0.02,1.08E+06,1.08E+06,,44.11847917,20.39116837,,
262,180,14.7,5/6/1987,0.35,3.1,4.07E+04,0.08,9.62E+04,0.03,3.18E+05,0.06,5.18E+04,0.05,1.63E+05,0.03,9.92E+05,0.02,2.15E+05,1.74E+05,4.07E+04,42.50263698,18.22805625,,
263,180,17,5/6/1987,0.3,2.6,4.07E+04,0.08,8.51E+04,0.03,4.66E+05,0.05,8.14E+04,0.03,2.18E+05,0.02,9.51E+05,0.02,3.00E+05,2.37E+05,6.29E+04,41.12617883,16.38540519,,
264,180,20,2/6/1987,0.12,1,2.22E+04,0.07,3.70E+04,0.04,1.18E+05,0.07,1.85E+04,0.05,5.18E+04,0.03,3.89E+05,0.03,7.03E+04,7.03E+04,,39.33079862,13.98194729,,
265,180,25,5/6/1987,0.18,1.6,1.48E+04,0.09,2.96E+04,0.04,1.15E+05,0.06,2.22E+04,0.04,6.66E+04,0.03,3.18E+05,0.03,8.88E+04,7.77E+04,1.11E+04,36.33849827,9.976184107,,
266,180,30,5/6/1987,0.1,0.9,1.85E+04,0.07,3.33E+04,0.03,1.04E+05,0.06,1.11E+04,0.07,4.07E+04,0.03,3.55E+05,0.02,5.18E+04,4.07E+04,1.11E+04,33.34619793,5.970420928,,
267,180,37.5,5/6/1987,0.1,0.9,1.48E+04,0.1,3.33E+04,0.04,1.07E+05,0.07,2.96E+04,0.04,7.40E+04,0.03,3.85E+05,0.03,1.04E+05,8.88E+04,1.48E+04,28.85774741,-0.03822384,,
268,180,45,5/6/1987,0.06,0.5,1.11E+04,0.11,1.85E+04,0.05,8.14E+04,0.07,1.85E+04,0.05,5.55E+04,0.03,1.67E+05,0.04,7.40E+04,7.03E+04,3.70E+03,24.36929689,-6.046868608,,
269,180,52.5,5/6/1987,0.05,0.4,7.40E+03,0.26,1.85E+04,0.08,,,7.40E+03,0.27,4.81E+04,0.06,2.00E+05,0.06,5.55E+04,4.63E+04,9.25E+03,19.88084637,-12.05551338,,
270,180,60,5/6/1987,0.04,0.3,,,3.70E+03,0.18,,,3.70E+03,0.33,3.33E+04,0.07,5.92E+04,0.19,3.70E+04,3.33E+04,3.70E+03,15.39239586,-18.06415814,,
271,190,5,5/6/1987,4,34.9,3.22E+05,0.1,6.59E+05,0.05,2.70E+06,0.07,4.88E+05,0.05,1.34E+06,0.03,6.88E+06,0.04,1.82E+06,1.54E+06,2.89E+05,51.63153429,34.99399639,,
272,190,6,4/6/1987,1.5,13.1,1.07E+05,0.07,3.26E+05,0.02,1.16E+06,0.04,2.29E+05,0.03,6.48E+05,0.02,3.96E+06,0.01,8.77E+05,7.96E+05,8.14E+04,51.69784115,35.99179567,,
273,190,7,5/6/1987,1.2,10.5,3.77E+05,0.05,6.77E+05,0.02,2.56E+06,0.04,3.70E+05,0.04,1.12E+06,0.02,7.40E+06,0.02,1.49E+06,1.22E+06,2.78E+05,51.76414801,36.98959495,,
274,190,8.3,5/6/1987,1,8.7,1.15E+05,0.04,2.85E+05,0.01,7.77E+05,0.03,1.59E+05,0.02,4.77E+05,0.01,2.98E+06,0.01,6.36E+05,5.74E+05,6.29E+04,51.85034692,38.28673401,,
275,190,10,4/6/1987,0.9,7.9,1.22E+05,0.1,2.85E+05,0.4,7.92E+05,0.1,6.66E+04,0.2,5.00E+05,0.03,3.49E+06,0.02,5.66E+05,2.42E+05,3.24E+05,51.96306858,39.98299279,,
276,190,12,4/6/1987,0.75,6.5,9.62E+04,0.05,1.92E+05,0.02,7.14E+05,0.04,9.25E+04,0.04,2.74E+05,0.02,2.01E+06,0.02,3.66E+05,3.07E+05,5.92E+04,52.0956823,41.97859134,,
277,190,14.7,5/6/1987,0.4,3.5,1.07E+05,0.08,2.26E+05,0.03,8.10E+05,0.06,1.33E+05,0.05,3.89E+05,0.02,2.46E+06,0.02,5.22E+05,4.59E+05,6.29E+04,52.27471082,44.6726494,,
278,190,17,,,,,,,,,,,,,,,,,,,52.42721659,46.96758774,,
279,190,20,5/6/1987,0.28,2.4,6.66E+04,0.12,1.22E+05,0.05,3.15E+05,0.14,2.59E+04,0.23,1.74E+05,0.05,1.42E+06,0.03,2.00E+05,2.00E+05,,52.62613717,49.96098557,,
280,190,25,5/6/1987,0.14,1.2,3.70E+04,0.14,5.92E+04,0.06,1.96E+05,0.12,5.55E+04,0.07,1.41E+05,0.04,8.62E+05,0.04,1.96E+05,1.74E+05,2.22E+04,52.95767146,54.94998197,,
281,190,30,5/6/1987,0.15,1.3,6.66E+04,0.11,1.30E+05,0.05,3.37E+05,0.11,5.55E+04,0.1,1.78E+05,0.05,1.17E+06,0.04,2.33E+05,2.29E+05,3.70E+03,53.28920575,59.93897836,,
282,190,37.5,5/6/1987,0.06,0.5,1.11E+04,0.12,1.85E+04,0.05,9.25E+04,0.07,1.85E+04,0.05,4.81E+04,0.03,2.44E+05,0.03,6.66E+04,6.48E+04,1.85E+03,53.78650719,67.42247295,,
283,190,45,5/6/1987,0.05,0.4,1.11E+04,0.11,2.22E+04,0.05,8.88E+04,0.08,1.85E+04,0.06,5.18E+04,0.03,2.59E+05,0.03,7.03E+04,6.59E+04,4.44E+03,54.28380863,74.90596754,,
284,190,52.5,5/6/1987,0.06,0.5,,,,,8.14E+04,0.2,1.48E+04,0.13,3.70E+04,0.09,1.26E+05,0.13,5.18E+04,4.81E+04,3.70E+03,54.78111006,82.38946213,,
285,190,60,5/6/1987,0.03,0.3,1.11E+04,0.16,1.48E+04,0.09,,,7.40E+03,0.23,4.07E+04,0.06,1.59E+05,0.08,4.81E+04,4.11E+04,7.03E+03,55.2784115,89.87295672,,
286,200,5,5/6/1987,1,8.7,1.18E+05,0.05,2.44E+05,0.02,8.18E+05,0.04,1.26E+05,0.03,3.55E+05,0.02,2.96E+06,0.01,4.81E+05,3.59E+05,1.22E+05,53.73593838,25.63851351,,
287,200,6,5/6/1987,0.9,7.9,1.37E+05,0.05,3.03E+05,0.02,9.84E+05,0.04,1.48E+05,0.03,4.51E+05,0.02,3.58E+06,0.01,5.99E+05,4.74E+05,1.26E+05,54.22312605,24.76521622,,
288,200,7,5/6/1987,0.6,5.2,7.03E+04,0.04,1.55E+05,0.02,4.81E+05,0.03,7.40E+04,0.03,2.15E+05,0.02,1.65E+06,0.01,2.89E+05,2.41E+05,4.81E+04,54.71031373,23.89191892,,
289,200,8.3,5/6/1987,0.4,3.5,1.18E+05,0.07,2.00E+05,0.03,7.22E+05,0.06,1.22E+05,0.05,3.11E+05,0.03,2.31E+06,0.02,4.33E+05,3.00E+05,1.33E+05,55.3436577,22.75663243,,
290,200,10,4/6/1987,0.45,3.9,4.44E+04,0.07,9.99E+04,0.03,4.07E+05,0.06,4.81E+04,0.05,1.44E+05,0.03,1.24E+06,0.02,1.92E+05,1.41E+05,5.18E+04,56.17187675,21.27202703,,
291,200,12,4/6/1987,0.4,3.5,2.96E+04,0.1,8.51E+04,0.03,3.40E+05,0.05,4.44E+04,0.05,1.18E+05,0.03,8.62E+05,0.02,1.63E+05,1.18E+05,4.44E+04,57.1462521,19.52543243,,
292,200,14.7,4/6/1987,0.21,1.8,4.81E+04,0.12,8.88E+04,0.05,4.55E+05,0.08,7.03E+04,0.06,1.89E+05,0.04,1.16E+06,0.03,2.59E+05,2.15E+05,4.44E+04,58.46165882,17.16752973,,
293,200,17,4/6/1987,0.18,1.6,4.07E+04,0.12,5.55E+04,0.06,,,8.88E+04,0.05,2.07E+05,0.03,7.47E+05,0.04,2.96E+05,2.52E+05,4.44E+04,59.58219048,15.15894595,,
294,200,20,2/6/1987,0.1,0.9,1.85E+04,0.08,3.70E+04,0.04,1.07E+05,0.07,2.22E+04,0.05,6.29E+04,0.03,4.44E+05,0.02,8.51E+04,8.14E+04,3.70E+03,61.0437535,12.53905406,,
295,200,25,5/6/1987,0.05,0.4,1.85E+04,0.08,4.07E+04,0.03,1.44E+05,0.06,2.59E+04,0.04,7.03E+04,0.03,4.03E+05,0.02,9.62E+04,7.77E+04,1.85E+04,63.47969188,8.17256757,,
296,200,30,5/6/1987,0.1,0.9,1.48E+04,0.21,2.59E+04,0.09,1.18E+05,0.18,1.85E+04,0.18,5.92E+04,0.06,2.96E+05,0.07,7.77E+04,6.66E+04,1.11E+04,65.91563025,3.806081084,,
297,200,37.5,5/6/1987,0.07,0.6,3.70E+03,0.2,1.11E+04,0.07,5.18E+04,0.09,1.11E+04,0.07,2.96E+04,0.04,1.11E+05,0.05,4.07E+04,2.96E+04,1.11E+04,69.56953781,-2.743648646,,
298,200,45,5/6/1987,0.03,0.3,,,7.40E+03,0.08,2.96E+04,0.15,7.40E+03,0.07,2.59E+04,0.04,7.03E+04,0.07,3.33E+04,2.96E+04,3.70E+03,73.22344538,-9.293378375,,
299,200,52.5,5/6/1987,0.02,0.2,,,1.48E+03,0.2,,,7.40E+03,0.08,2.22E+04,0.05,0.00E+00,,2.96E+04,2.15E+04,8.14E+03,76.87735294,-15.8431081,,
300,200,60,5/6/1987,0.02,0.2,,,3.70E+03,0.11,2.96E+04,0.14,7.40E+03,0.07,1.85E+04,0.05,6.66E+04,0.07,2.59E+04,2.22E+04,3.70E+03,80.5312605,-22.39283783,,
301,210,5,4/6/1987,0.5,4.4,7.03E+04,0.07,1.11E+05,0.04,4.18E+05,0.07,4.81E+04,0.07,1.52E+05,0.03,1.42E+06,0.02,2.00E+05,1.44E+05,5.55E+04,46.88061263,32.34359259,,
302,210,6,5/6/1987,0.45,3.9,7.03E+04,0.04,1.48E+05,0.02,4.07E+05,0.04,7.03E+04,0.03,1.74E+05,0.02,1.49E+06,0.01,2.44E+05,1.63E+05,8.14E+04,45.99673516,32.81131111,,
303,210,7,5/6/1987,0.3,2.6,8.88E+04,0.08,1.70E+05,0.04,6.44E+05,0.06,9.25E+04,0.06,2.74E+05,0.03,1.69E+06,0.02,3.66E+05,2.96E+05,7.03E+04,45.11285769,33.27902963,,
304,210,8.3,5/6/1987,0.25,2.2,7.03E+04,0.09,1.33E+05,0.04,3.66E+05,0.1,8.51E+04,0.05,1.63E+05,0.04,1.63E+06,0.02,2.48E+05,2.12E+05,3.59E+04,43.96381697,33.8870637,,
305,210,10,3/6/1987,0.2,1.7,1.85E+04,0.08,4.07E+04,0.03,1.07E+05,0.07,1.85E+04,0.05,5.18E+04,0.03,3.63E+05,0.03,7.03E+04,7.03E+04,,42.46122527,34.68218518,,
306,210,12,4/6/1987,0.25,2.2,6.29E+04,0.12,1.04E+05,0.06,3.66E+05,0.11,5.18E+04,0.11,1.55E+05,0.05,9.81E+05,0.04,2.07E+05,1.78E+05,2.96E+04,40.69347032,35.61762222,,
307,210,14.7,4/6/1987,0.14,1.2,2.96E+04,0.13,6.29E+04,0.05,2.70E+05,0.08,5.55E+04,0.05,1.30E+05,0.03,7.29E+05,0.03,1.85E+05,1.67E+05,1.78E+04,38.30700114,36.88046222,,
308,210,17,4/6/1987,0.8,7,1.85E+04,0.09,3.33E+04,0.04,8.51E+04,0.08,2.22E+04,0.05,5.55E+04,0.03,3.29E+05,0.03,7.77E+04,5.99E+04,1.78E+04,36.27408296,37.95621481,,
309,210,20,2/6/1987,0.05,0.4,,,1.11E+04,0.08,4.44E+04,0.12,1.07E+04,0.08,3.00E+04,0.05,1.18E+05,0.06,4.07E+04,1.48E+04,2.59E+04,33.62245054,39.35937037,,
310,210,25,3/6/1987,0.07,0.6,,,1.85E+04,0.06,7.77E+04,0.13,1.11E+04,0.11,3.33E+04,0.05,2.33E+05,0.05,4.44E+04,2.96E+04,1.48E+04,29.20306317,41.69796296,,
311,210,30,5/6/1987,0.05,0.4,,,3.70E+03,0.08,1.11E+04,0.27,3.70E+03,0.09,1.48E+04,0.04,3.33E+04,0.09,1.85E+04,1.85E+04,,24.7836758,44.03655555,,
312,210,37.5,5/6/1987,0.03,0.3,,,3.70E+03,0.11,2.96E+04,0.14,7.40E+03,0.1,1.85E+04,0.05,6.66E+04,0.08,2.59E+04,7.40E+03,1.85E+04,18.15459476,47.54444444,,
313,210,45,5/6/1987,0.03,0.3,,,,,,,3.70E+03,0.09,1.48E+04,0.06,2.59E+04,0.16,1.85E+04,1.85E+04,,11.52551371,51.05233333,,
314,210,52.5,5/6/1987,0.02,0.2,,,3.70E+03,0.18,,,7.40E+03,0.08,2.22E+04,0.05,2.22E+04,0.19,2.96E+04,1.11E+04,1.85E+04,4.896432658,54.56022221,,
315,210,60,5/6/1987,0.02,0.2,,,3.70E+03,0.18,,,7.40E+03,0.2,1.48E+04,0.11,0.00E+00,,2.22E+04,2.00E+04,2.22E+03,-1.732648391,58.0681111,,
316,220,5,5/6/1987,0.6,5.2,1.04E+05,0.05,1.81E+05,0.02,5.70E+05,0.04,8.51E+04,0.04,2.78E+05,0.02,2.11E+06,0.01,3.63E+05,2.37E+05,1.26E+05,56.28042585,30.44699356,,
317,220,6,2/6/1987,0.3,2.6,7.77E+04,0.04,1.55E+05,0.02,6.29E+05,0.03,8.14E+04,0.02,2.04E+05,0.02,1.58E+06,0.01,2.85E+05,2.37E+05,4.81E+04,57.27651103,30.53539227,,
318,220,7,2/6/1987,0.25,2.2,4.81E+04,0.05,8.88E+04,0.02,2.55E+05,0.05,4.44E+04,0.03,1.11E+05,0.02,9.92E+05,0.01,1.55E+05,4.44E+04,1.11E+05,58.2725962,30.62379099,,
319,220,8.3,3/6/1987,0.18,1.6,4.07E+04,0.08,8.51E+04,0.03,2.26E+05,0.07,2.96E+04,0.07,1.07E+05,0.03,1.02E+06,0.02,1.37E+05,1.37E+05,,59.56750692,30.73870931,,
320,220,10,3/6/1987,0.07,0.6,2.96E+04,0.06,6.29E+04,0.03,3.70E+05,0.03,4.07E+04,0.03,1.11E+05,0.02,6.55E+05,0.02,1.52E+05,1.24E+05,2.78E+04,61.26085171,30.88898712,,
321,220,12,4/6/1987,0.18,1.6,4.81E+04,0.08,8.51E+04,0.04,3.03E+05,0.06,6.66E+04,0.04,1.81E+05,0.03,1.01E+06,0.02,2.48E+05,2.15E+05,3.33E+04,63.25302205,31.06578455,,
322,220,14.7,2/6/1987,0.1,0.9,1.85E+04,0.08,4.44E+04,0.03,1.67E+05,0.05,2.96E+04,0.04,8.14E+04,0.02,4.74E+05,0.02,1.11E+05,4.07E+04,7.03E+04,65.94245201,31.30446107,,
323,220,17,2/6/1987,0.075,0.7,1.11E+04,0.12,2.96E+04,0.04,1.26E+05,0.07,1.44E+04,0.07,5.18E+04,0.03,3.03E+05,0.03,6.62E+04,6.62E+04,,68.2334479,31.50777811,,
324,220,20,2/6/1987,0.025,0.2,1.48E+04,0.08,3.33E+04,0.04,8.14E+04,0.08,1.85E+04,0.05,5.55E+04,0.03,3.70E+05,0.03,7.40E+04,4.07E+04,3.33E+04,71.22170342,31.77297425,,
325,220,25,,,,,,,,,,,,,,,,,,,76.20212927,32.21496781,,
326,220,30,3/6/1987,0.04,0.3,,,7.40E+03,0.09,2.22E+04,1.21,3.70E+03,0.17,1.11E+04,0.07,6.29E+04,0.09,1.48E+04,1.48E+04,,81.18255513,32.65696137,,
327,220,37.5,5/6/1987,0.02,0.2,,,7.40E+03,0.1,2.59E+04,0.16,7.40E+03,0.08,1.48E+04,0.06,6.29E+04,0.11,2.22E+04,2.22E+04,,88.65319391,33.31995172,,
328,220,45,5/6/1987,0.02,0.2,,,1.48E+03,0.22,,,3.70E+03,0.17,7.40E+03,0.08,4.07E+04,0.13,1.11E+04,1.11E+04,,96.12383269,33.98294206,,
329,220,52.5,5/6/1987,0.02,0.2,,,,,,,3.70E+03,0.13,1.11E+04,0.07,1.85E+04,0.26,1.48E+04,1.48E+04,,103.5944715,34.64593241,,
330,220,60,5/6/1987,0.02,0.2,,,1.11E+03,0.26,,,7.40E+03,0.09,1.48E+04,0.06,0.00E+00,,2.22E+04,2.00E+04,2.22E+03,111.0651103,35.30892275,,
331,230,5,2/6/1987,0.45,3.9,8.14E+04,0.04,1.81E+05,0.02,4.59E+05,0.03,9.62E+04,0.02,2.74E+05,0.01,1.96E+06,0.01,3.70E+05,3.18E+05,5.18E+04,47.36152029,26.92467898,,
332,230,6,5/6/1987,0.9,7.9,2.04E+05,0.05,4.00E+05,0.02,1.12E+06,0.05,2.07E+05,0.04,5.51E+05,0.02,4.07E+06,0.02,7.59E+05,7.22E+05,3.70E+04,46.57382435,26.30861478,,
333,230,7,,,,,,,,,,,,,,,,,,,45.78612841,25.69255057,,
334,230,8.3,2/6/1987,0.3,2.6,2.44E+04,0.07,4.44E+04,0.03,1.52E+05,0.06,2.96E+04,0.04,8.51E+04,0.02,4.85E+05,0.02,1.15E+05,1.07E+05,7.40E+03,44.76212368,24.89166711,,
335,230,10,3/6/1987,0.13,1.1,2.59E+04,0.09,5.92E+04,0.04,1.92E+05,0.06,3.70E+04,0.05,8.88E+04,0.03,6.55E+05,0.02,1.26E+05,9.40E+04,3.18E+04,43.42304058,23.84435796,,
336,230,12,2/6/1987,0.05,0.4,1.85E+04,0.08,3.70E+04,0.03,1.11E+05,0.07,2.22E+04,0.05,5.92E+04,0.03,3.70E+05,0.03,8.14E+04,6.59E+04,1.55E+04,41.8476487,22.61222955,,
337,230,14.7,2/6/1987,0.12,1,7.40E+03,0.16,1.85E+04,0.05,4.81E+04,0.11,1.11E+04,0.07,2.96E+04,0.04,1.52E+05,0.04,4.07E+04,2.22E+04,1.85E+04,39.72086966,20.9488562,,
338,230,17,2/6/1987,0.075,0.7,7.40E+03,0.14,1.85E+04,0.05,5.55E+04,0.11,1.85E+04,0.05,4.81E+04,0.03,1.96E+05,0.04,6.66E+04,4.81E+04,1.85E+04,37.90916899,19.53190853,,
339,230,20,2/6/1987,0.05,0.4,3.70E+03,0.18,1.11E+04,0.07,2.96E+04,0.2,1.85E+04,0.03,4.81E+04,0.03,1.33E+05,0.05,6.66E+04,4.07E+04,2.59E+04,35.54608117,17.68371592,,
340,230,25,2/6/1987,0.06,0.5,3.70E+03,0.12,3.70E+03,0.09,1.48E+04,0.14,7.40E+03,0.06,1.48E+04,0.03,5.18E+04,0.06,2.22E+04,1.33E+04,8.88E+03,31.60760146,14.6033949,,
341,230,30,3/6/1987,0.03,0.3,,,3.70E+03,0.2,2.96E+04,0.16,7.40E+03,0.1,2.22E+04,0.06,5.92E+04,0.1,2.96E+04,2.96E+04,,27.66912175,11.52307388,,
342,230,37.5,8/6/1987,0.04,0.3,,,1.48E+03,0.16,1.11E+04,0.19,3.70E+03,0.07,1.11E+04,0.05,1.85E+04,0.17,1.48E+04,1.48E+04,,21.76140219,6.902592348,,
343,230,45,,,,,,,,,,,,,,,,,,,15.85368263,2.282110818,,
344,230,52.5,8/6/1987,0.02,0.2,,,1.48E+04,0.13,3.70E+04,0.44,,,4.07E+04,0.08,1.55E+05,0.13,4.07E+04,1.11E+04,2.96E+04,9.945963064,-2.338370713,,
345,230,60,8/6/1987,0.02,0.2,,,3.70E+03,0.25,,,,,2.59E+04,0.11,0.00E+00,,2.59E+04,2.48E+04,1.11E+03,4.038243501,-6.958852243,,
346,240,5,2/6/1987,5.5,48,5.59E+05,0.05,1.09E+06,0.05,,,3.48E+05,0.13,1.38E+06,0.05,1.28E+07,0.05,1.72E+06,1.11E+06,6.14E+05,52.92890653,34.73222577,,
347,240,6,29/05/1987,2.8,24.4,5.11E+05,0.05,1.30E+06,0.02,,,5.70E+05,0.03,1.35E+06,0.02,1.63E+07,0.01,1.92E+06,1.88E+06,3.70E+04,53.25468783,35.67767093,,
348,240,7,5/6/1987,1.2,10.5,1.44E+05,0.05,3.22E+05,0.02,6.85E+05,0.04,1.55E+05,0.03,4.18E+05,0.02,3.40E+06,0.01,5.74E+05,5.03E+05,7.03E+04,53.58046914,36.62311608,,
349,240,8.3,2/6/1987,1,8.7,1.15E+05,0.03,2.29E+05,0.02,5.77E+05,0.03,1.15E+05,0.02,3.26E+05,0.01,2.24E+06,0.01,4.40E+05,4.14E+05,2.59E+04,54.00398484,37.85219479,,
350,240,10,2/6/1987,0.7,6.1,9.99E+04,0.04,1.92E+05,0.02,7.03E+05,0.03,9.25E+04,0.03,2.81E+05,0.01,1.91E+06,0.01,3.74E+05,3.74E+05,,54.55781306,39.45945155,,
351,240,12,29/05/1987,0.2,1.7,4.81E+04,0.06,1.04E+05,0.02,,,1.85E+04,0.11,1.37E+05,0.02,1.35E+06,0.01,1.55E+05,1.22E+05,3.33E+04,55.20937567,41.35034186,,
352,240,14.7,5/6/1987,0.2,1.7,5.18E+04,0.11,7.55E+04,0.05,1.40E+05,0.19,2.96E+04,0.15,1.22E+05,0.04,9.40E+05,0.03,1.52E+05,1.32E+05,2.00E+04,56.08898519,43.90304378,,
353,240,17,5/6/1987,0.012,0.1,2.22E+04,0.18,7.40E+04,0.06,1.55E+05,0.14,4.81E+04,0.08,1.30E+05,0.04,7.36E+05,0.04,1.78E+05,1.58E+05,2.00E+04,56.83828219,46.07756763,,
354,240,20,4/6/1987,0.15,1.3,3.70E+03,0.17,7.40E+03,0.06,2.96E+04,0.09,1.11E+04,0.04,2.96E+04,0.03,7.03E+04,0.05,4.07E+04,3.70E+04,3.70E+03,57.81562611,48.9139031,,
355,240,25,4/6/1987,0.15,1.3,,,3.70E+03,0.11,,,2.59E+04,0.04,6.29E+04,0.03,2.96E+04,0.15,8.88E+04,5.55E+04,3.33E+04,59.44453264,53.64112887,,
356,240,30,2/6/1987,0.075,0.7,,,7.40E+03,0.1,4.07E+04,0.13,6.29E+04,0.03,1.63E+05,0.02,4.81E+04,0.11,2.26E+05,2.00E+05,2.59E+04,61.07343917,58.36835465,,
357,240,37.5,5/6/1987,0.025,0.2,,,,,,,3.70E+03,0.07,1.11E+04,0.05,0.00E+00,,1.48E+04,7.40E+03,7.40E+03,63.51679896,65.45919331,,
358,240,45,5/6/1987,0.05,0.4,,,,,,,6.29E+04,0.03,1.55E+05,0.02,0.00E+00,,2.18E+05,1.78E+05,4.07E+04,65.96015875,72.55003197,,
359,240,52.5,5/6/1987,0.2,1.7,,,,,,,1.18E+05,0.02,2.92E+05,0.01,0.00E+00,,4.11E+05,3.11E+05,9.99E+04,68.40351854,79.64087063,,
